Date,Time,Open,High,Low,Close,Volume
2020.03.05,16:00,1.11881,1.11982,1.1179,1.11863,12423
2020.03.05,17:00,1.11862,1.12008,1.11774,1.11903,12491
2020.03.05,18:00,1.11902,1.11967,1.11667,1.11875,17602
2020.03.05,19:00,1.11876,1.12045,1.11788,1.12013,12006
2020.03.05,20:00,1.12014,1.12161,1.11839,1.12136,11067
2020.03.05,21:00,1.12137,1.12175,1.11971,1.11992,7804
2020.03.05,22:00,1.11993,1.12035,1.11915,1.12001,5947
2020.03.05,23:00,1.12,1.12294,1.11934,1.12277,9166
2020.03.06,0:00,1.12278,1.12446,1.12244,1.12369,4769
2020.03.06,1:00,1.12371,1.1239,1.12273,1.12301,3735
2020.03.06,2:00,1.12303,1.12373,1.12219,1.12222,3895
2020.03.06,3:00,1.12223,1.12277,1.1211,1.12198,4963
2020.03.06,4:00,1.12197,1.12458,1.12182,1.12451,4328
2020.03.06,5:00,1.12452,1.12482,1.123,1.12316,5509
2020.03.06,6:00,1.12315,1.12339,1.12257,1.12333,3682
2020.03.06,7:00,1.12332,1.12386,1.12295,1.12304,2859
2020.03.06,8:00,1.12303,1.12361,1.12277,1.12279,2315
2020.03.06,9:00,1.1228,1.12367,1.12186,1.12277,5974
2020.03.06,10:00,1.12276,1.12374,1.12232,1.12339,9565
2020.03.06,11:00,1.1234,1.12781,1.12286,1.12719,20055
2020.03.06,12:00,1.1272,1.12952,1.12677,1.12935,16416
2020.03.06,13:00,1.12934,1.13238,1.12925,1.13162,29632
2020.03.06,14:00,1.13163,1.13403,1.13112,1.1332,22755
2020.03.06,15:00,1.13319,1.13319,1.13048,1.13159,14998
2020.03.06,16:00,1.13158,1.13376,1.13051,1.13227,26412
2020.03.06,17:00,1.13226,1.13543,1.13176,1.13485,28706
2020.03.06,18:00,1.13486,1.13542,1.12872,1.13096,40363
2020.03.06,19:00,1.13095,1.13299,1.13052,1.13188,15251
2020.03.06,20:00,1.13189,1.13275,1.12876,1.13049,12269
